spu_code	status
PTO_02VG	4
TOA212282BQU	0
PTO_0172	0
PTO_01O8	0
PTO_00EI	0
EL61310947Z3	0
EL6136GBG4ZN	4
POU_019H	0
PTO_03X2	0
TO212245F55Y	0
PTO_00KR	0
PEL_04X0	4
PHO_05GH	4
PTO_018H	4
PEL_04MV	0
PEL_00RU	4
PEL_01F6	4
PEL_06YJ	4
PEL_06AJ	4
PEL_049E	4
HO10701SGY09	4
PEL_05XD	0
PEL_06A4	4
PTO_03RK	0
PTO_03IT	2
PTO_03KA	4
PHO_0058	4
PTO_0347	0
PH212291TW8D	4
PEL_00J7	4
PTO_0197	2
PEL_06BM	4
PHO_01QF	0
PEL_06EJ	0
PTO_0450	0
PBY_00D1	0
PEL_06KN	0
PEL_03XI	4
PEL_03BF	4
PHO_03OB	4
PEL_01BL	4
PEL_01DI	4
PHO_051C	4
TO2122P3XFYB	2
PHO_047I	2
POU_00LP	2
PHO_03DS	2
PHO_07QW	4
PEL_0763	2
PAU_02ND	2
PUSHTYN8CIXW	2
HOA1070NA8O6	0
PAU_0063	0
PTO_01F7	0
HOA107015SC0	0
PHO_096B	0
POU_02ML	0
PBY_0PS5	0
HOA10700S4L0	2
PH1070642AT8	2
PEL_0083	2
PTO_02AU	2
PEL_03AQ	2
PHO_00IT	2
PTO_02EM	4
PEL_03ZA	0
PEL_00Z2	2
PTO_004N	0
PH2122JKG48A	2
PTO_015S	2
PEL_05CD	2
PTO_033U	2
PEL_01XV	2
PEL_02SB	0
PHO_06TJ	2
PEL_03EC	4
PTO_00Y1	2
TO2122AJUH66	2
PTO_00H9	2
PEL_06ZZ	2
L00BGFGYXB40	2
PEL_00MX	2
PBY_0EIT	2
PHO_02N9	2
PHO_042O	2
PHO_06P3	0
OUNCAT27F987	2
PHO_01HT	2
PEL_0757	2
PHO_07XH	2
PEL_02JX	2
PEL_08EL	2
PBE_03DN	2
PHO_0GDD	2
PTO_0D72	2
PEL_0886	2
PHO_03WJ	2
PAU_03Y1	2
PHO_0I0I	2
PTO_0CL6	2
PEL_067P	2
